region_name;year;criminality;salary;unemployee
Красноярский край;2010;2,508284237;23254,2;3,42821335
Красноярский край;2011;2,226272607;25658,6;3,191636524
Красноярский край;2012;2,06108495;28672,4;2,953664728
Красноярский край;2013;2,064540037;31622,6;3,021361982
Красноярский край;2014;1,973498761;34178;2,671694112
Красноярский край;2015;2,175690824;36071;3,260951202
Красноярский край;2016;1,994081985;38474;3,141389706
Красноярский край;2017;1,776314737;41117;2,963804697
Красноярский край;2018;1,596446375;38023;2,545264586
Красноярский край;2019;1,621175274;41770;2,320026201
Курганская область;2010;2,561130702;13227,9;6,051343004
Курганская область;2011;2,391589052;14833,1;4,919349656
Курганская область;2012;2,251038427;17180,3;4,231822054
Курганская область;2013;2,182078908;19408,5;3,76934448
Курганская область;2014;2,338345081;21172;3,427893681
Курганская область;2015;2,571908691;22064;3,675788671
Курганская область;2016;2,255591777;23335;4,015846135
Курганская область;2017;2,103261503;25433;4,319370034
Курганская область;2018;2,07827948;28159;3,646868654
Курганская область;2019;2,058048001;30632;3,416641294
Курская область;2010;1,620339037;14006,5;4,207130907
Курская область;2011;1,504443287;16240,8;3,21420784
Курская область;2012;1,346915242;18690;2,579943806
Курская область;2013;1,179977643;21234,2;2,374252629
Курская область;2014;1,184906815;23099;2,014672489
Курская область;2015;1,271478093;23921;2,145887451
Курская область;2016;1,086979783;25327;2,178150547
Курская область;2017;1,060170768;27274;2,097554655
Курская область;2018;1,098872418;29937;2,073457956
Курская область;2019;1,194275294;32709;2,038038071
Ленинградская область;2010;1,658368108;20768,3;2,913638321
Ленинградская область;2011;1,428824662;23302,6;2,445888299
Ленинградская область;2012;1,190057394;26309,9;1,820752806
Ленинградская область;2013;1,145984587;29358,3;2,327928773
Ленинградская область;2014;1,101748739;31851;2,440143479
Ленинградская область;2015;1,143485419;33996;2,748596386
Ленинградская область;2016;0,982140557;36319;2,481088123
Ленинградская область;2017;1,02109641;39333;2,501350627
Ленинградская область;2018;1,183991401;43631;2,172990445
Ленинградская область;2019;1,305838381;46387;2,008895363
Липецкая область;2010;1,384968911;15429,8;2,36773747
Липецкая область;2011;1,315344863;17010,4;2,555752025
Липецкая область;2012;1,158172798;19416,6;1,940940232
Липецкая область;2013;1,143274499;21390,5;1,933334539
Липецкая область;2014;1,064316323;23133;1,896077717
Липецкая область;2015;1,245139281;24524;2,083183878
Липецкая область;2016;1,069837401;26214;2,043061626
Липецкая область;2017;1,100405737;28455;2,002148783
Липецкая область;2018;1,076088075;31622;1,997614892
Липецкая область;2019;1,066914951;34312;1,954536337
Магаданская область;2010;2,253956784;36582;3,599612086
Магаданская область;2011;2,070619707;41933,7;2,923303474
Магаданская область;2012;2,107911512;49667,3;2,203073875
Магаданская область;2013;2,304820431;57121,1;1,881256814
Магаданская область;2014;2,064467696;62152;1,94917924
Магаданская область;2015;2,247839791;65996;2,71860225
Магаданская область;2016;2,045793996;69769;2,722701051
Магаданская область;2017;1,913277636;75710;3,302492578
Магаданская область;2018;2,068511107;85631;3,110126662
Магаданская область;2019;2,050593144;94856;2,793355652
Московская область;2010;1,620093158;25417,4;1,847545671
Московская область;2011;1,647219412;28585,6;2,146524976
Московская область;2012;1,561778956;32302,5;1,661642315
Московская область;2013;1,511496785;35690,3;1,523455856
Московская область;2014;1,267845149;38598;1,460233595
Московская область;2015;1,225907258;40643;1,77729954
Московская область;2016;1,197887739;42656;1,806402826
Московская область;2017;1,129601723;46836;1,745364428
Московская область;2018;1,063349399;51938;1,461706497
Московская область;2019;1,007801571;55555;1,490218443
Мурманская область;2010;2,112630989;29307,8;5,24920287
Мурманская область;2011;2,018932709;32341,6;5,130642772
Мурманская область;2012;1,833649165;36187,9;4,63047742
Мурманская область;2013;1,716065425;40225,1;4,34856032
Мурманская область;2014;1,675753803;43378;3,989233337
Мурманская область;2015;2,428077558;45989;4,624548236
Мурманская область;2016;1,981981745;48986;4,518249866
Мурманская область;2017;1,690471527;51932;4,090192009
Мурманская область;2018;1,609603546;58045;3,85612262
Мурманская область;2019;1,627034801;63715;3,073466993
Нижегородская область;2010;2,431215201;16327,6;4,151204469
Нижегородская область;2011;1,986919412;18492,4;3,896680433
Нижегородская область;2012;1,676264668;20958,8;2,977566608
Нижегородская область;2013;1,434928909;23572,9;2,308480346
Нижегородская область;2014;1,177099074;25497;2,295648458
Нижегородская область;2015;1,261073093;26481;2,302100768
Нижегородская область;2016;1,236574175;28399;2,3442297
Нижегородская область;2017;1,299721834;30387;2,319642654
Нижегородская область;2018;1,291226094;32949;2,262731236
Нижегородская область;2019;1,340974855;35212;2,225764581
Новгородская  область;2010;1,840951706;16750,8;3,017695958
Новгородская  область;2011;1,773083911;18636,5;2,617251173
Новгородская  область;2012;2,017996148;21297,4;2,191299472
Новгородская  область;2013;1,896680729;23493,8;2,498626116
Новгородская  область;2014;2,065856009;25225;1,926950558
Новгородская  область;2015;2,117314245;26346;2,405066778
Новгородская  область;2016;1,951780312;27914;2,542394961
Новгородская  область;2017;1,821660085;29311;2,450537245
Новгородская  область;2018;1,804317634;31462;2,157325493
Новгородская  область;2019;1,823025028;32174;1,832717526
Новосибирская область;2010;2,490475892;18229,7;4,11039069
Новосибирская область;2011;2,112368232;20308,5;3,694486869
Новосибирская область;2012;1,901813865;23245,8;2,99251972
Новосибирская область;2013;1,813721778;25527,9;3,094270596
Новосибирская область;2014;1,699417086;27214;2,687114047
Новосибирская область;2015;1,934014853;28046;3,590087452
Новосибирская область;2016;1,631277392;30151;3,88477229
Новосибирская область;2017;1,592880114;32287;3,05523809
Новосибирская область;2018;1,709065478;41901;3,447187433
Новосибирская область;2019;1,795815618;45526;3,107865899
Омская область;2010;1,684718059;16708,2;4,31637674
Омская область;2011;1,511117635;19087,8;4,242872111
Омская область;2012;1,538288555;21931,2;3,64429331
Омская область;2013;1,471886034;24847,9;3,668417826
Омская область;2014;1,468298289;26205;3,549441835
Омская область;2015;1,554143811;27234;3,624128303
Омская область;2016;1,485745409;28163;3,829368072
Омская область;2017;1,447684122;29751;3,670039697
Омская область;2018;1,379360158;51667;3,550570477
Омская область;2019;1,284882429;56437;3,374857267
Оренбургская область;2010;1,692090909;15199,6;3,779710031
Оренбургская область;2011;1,530493726;17024,9;3,256540676
Оренбургская область;2012;1,416572808;19270,8;2,77170617
Оренбургская область;2013;1,348489261;21592,8;2,614238448
Оренбургская область;2014;1,377318267;23469;2,312605807
Оренбургская область;2015;1,539688959;24591;2,445073316
Оренбургская область;2016;1,366848478;26209;2,510071911
Оренбургская область;2017;1,371811818;27445;2,303375488
Оренбургская область;2018;1,331124604;30371;2,267093796
Оренбургская область;2019;1,366993874;32883;2,101003051
Орловская область;2010;1,730498323;13174,2;4,494228294
Орловская область;2011;1,610084793;14528,6;3,117672512
Орловская область;2012;1,699177834;16888;2,686008531
Орловская область;2013;1,5800192;19272,5;2,972563145
Орловская область;2014;1,52213902;20885;2,600299113
Орловская область;2015;1,542345651;21772;3,12875832
Орловская область;2016;1,2298156;23127;3,263177633
Орловская область;2017;1,17811382;24811;3,271769075
Орловская область;2018;1,209783738;27476;2,445799859
Орловская область;2019;1,216457135;29683;2,514110984
Пензенская область;2010;1,222869739;14423,6;3,178337571
Пензенская область;2011;1,084496389;16362,2;2,694106669
Пензенская область;2012;1,000511439;19126,2;2,513773151
Пензенская область;2013;0,949566986;20644,8;2,460168457
Пензенская область;2014;0,988143748;22392;2,398788898
Пензенская область;2015;1,021919727;23192;2,428187176
Пензенская область;2016;0,915832475;25337;2,430126792
Пензенская область;2017;0,884264521;26238;2,283271397
Пензенская область;2018;0,968315573;28968;2,292362014
Пензенская область;2019;0,985110147;30765;2,159954811
Пермский край;2010;2,780468153;17438,3;4,418420796
Пермский край;2011;2,218354055;18773,3;3,952912877
Пермский край;2012;2,440740103;21820,9;3,225655745
Пермский край;2013;2,150071263;24715,5;3,285650102
Пермский край;2014;1,969170062;27102;2,837297983
Пермский край;2015;2,209301443;28528;3,098242605
Пермский край;2016;1,901678266;30651;2,904582279
Пермский край;2017;1,67433587;32952;2,947927184
Пермский край;2018;1,61278674;35802;2,586473394
Пермский край;2019;1,648771799;39210;2,415864693
Приморский край;2010;2,599163707;21888,7;5,189651116
Приморский край;2011;2,337944298;24423;4,355142945
Приморский край;2012;2,466399812;27444,6;3,738365712
Приморский край;2013;2,699999846;29965,7;3,90068604
Приморский край;2014;2,523153182;32431;3,767838501
Приморский край;2015;2,454900117;33807;3,802122871
Приморский край;2016;2,033890913;35677;3,262200282
Приморский край;2017;1,909152713;38045;2,935806506
Приморский край;2018;1,720498753;42199;2,917850574
Приморский край;2019;1,636661642;46867;2,714378456
Псковская область;2010;1,81973508;14498,2;4,989934701
Псковская область;2011;1,688990253;15721,2;4,94202643
Псковская область;2012;1,567416525;18202,9;3,497216259
Псковская область;2013;1,410096308;19742,7;3,709829402
Псковская область;2014;1,357839081;21004;3,412798069
Псковская область;2015;1,686959819;21553;3,571841459
Псковская область;2016;1,474228932;22399;3,461287133
Псковская область;2017;1,295055173;23659;3,254842771
Псковская область;2018;1,257783155;26871;2,86748655
Псковская область;2019;1,306933468;29441;2,556690588
Республика Адыгея;2010;1,062642237;12787,4;4,334461756
Республика Адыгея;2011;1,034921225;14344,9;3,889907591
Республика Адыгея;2012;0,919206361;16715,2;3,72891982
Республика Адыгея;2013;0,88818042;19276;3,724924507
Республика Адыгея;2014;0,903331271;20945;3,867687092
Республика Адыгея;2015;1,100982624;22087;3,930716705
Республика Адыгея;2016;1,025370119;23109;4,029644889
Республика Адыгея;2017;0,885367613;24490;3,871001895
Республика Адыгея;2018;0,904285777;27469;3,802581157
Республика Адыгея;2019;1,026115947;30192;3,583016463
Республика Алтай;2010;2,482544985;14235,8;5,955097641
Республика Алтай;2011;2,371817735;15632,4;6,1760765
Республика Алтай;2012;2,261384531;18264,6;5,489409461
